Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type
4,0,Dismal Backwater,Duel Decks: Blessed vs. Cursed,70,Near Mint,English,,,,,,,,0,Land
1,0,Dive Down,Ixalan,53,Near Mint,English,,,,,,,,,Instant
1,0,Doom Blade,Magic 2011,95,Near Mint,English,,,,,,,,0,Instant
1,0,Doom Foretold,Throne of Eldraine,187,Near Mint,English,,,,,,,,,Enchantment
1,0,Doomed Traveler,Battlebond,91,Near Mint,English,,,,,,,,,Creature - Human Soldier
1,0,Drag to the Underworld,Theros Beyond Death,89,Near Mint,English,,,,,,,,,Instant
1,0,Dread Return,Duel Decks: Blessed vs. Cursed,55,Near Mint,English,,,,,,,,0,Sorcery
1,0,Driver of the Dead,Avacyn Restored,99,Near Mint,English,,,,,,,,,Creature - Vampire
1,0,Dusk Legion Zealot,Rivals of Ixalan,70,Near Mint,English,,,,,,,,,Creature - Vampire Soldier
2,0,Dwarven Mine,Throne of Eldraine,243,Near Mint,English,,,,,,,,,Land - Mountain
1,0,Edgewall Innkeeper,Throne of Eldraine,151,Near Mint,English,,,,,,,,,Creature - Human Peasant
1,0,Eerie Interlude,Duel Decks: Blessed vs. Cursed,8,Near Mint,English,,,,,,,,0,Instant
1,0,Elite Instructor,Theros Beyond Death,49,Near Mint,English,,,,,,,,,Creature  - Human Wizard
1,0,Elspeth's Nightmare,Theros Beyond Death,91,Near Mint,English,,,,,,,,,Enchantment  - Saga
1,0,Emancipation Angel,Ultimate Masters,15,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Embereth Shieldbreaker // Battle Display,Throne of Eldraine,122,Near Mint,English,,,,,,,,0,Creature - Human Knight // Sorcery - Adventure
1,0,Embereth Shieldbreaker // Battle Display,Throne of Eldraine,122,Near Mint,English,foil,,,,,,,0,Creature - Human Knight // Sorcery - Adventure
1,0,Emeria Angel,Iconic Masters,20,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Enchanted Carriage,Throne of Eldraine,218,Near Mint,English,,,,,,,,,Artifact - Vehicle
1,0,Enemy of Enlightenment,Theros Beyond Death,92,Near Mint,English,,,,,,,,,Enchantment Creature  - Demon
1,0,Eternal Skylord,War of the Spark,49,Near Mint,English,,,,,,,,,Creature - Zombie Wizard
1,0,Evil Twin,Battlebond,222,Near Mint,English,,,,,,,,,Creature - Shapeshifter
2,0,Evolving Wilds,Amonkhet,242,Near Mint,English,,,,,,,,0,Land
1,0,Eye Collector,Throne of Eldraine,86,Near Mint,English,,,,,,,,,Creature - Faerie
1,0,Faerie Guidemother // Gift of the Fae,Throne of Eldraine,11,Near Mint,English,,,,,,,,,Creature - Faerie // Sorcery - Adventure
1,0,Falkenrath Noble,Duel Decks: Blessed vs. Cursed,57,Near Mint,English,,,,,,,,0,Creature - Vampire Noble
1,0,"Feather, the Redeemed",War of the Spark,197,Near Mint,English,,,,,,,,,Legendary Creature - Angel
1,0,Fencing Ace,Core Set 2020,16,Near Mint,English,,,,,,,,,Creature - Human Soldier
1,0,Ferocity of the Wilds,Throne of Eldraine,123,Near Mint,English,,,,,,,,,Enchantment
1,0,Fertilid,Battlebond,199,Near Mint,English,,,,,,,,,Creature - Elemental
1,0,Field of the Dead,Core Set 2020,247,Near Mint,English,,,,,,,,,Land
1,0,Fiend Hunter,Ultimate Masters,17,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Final Death,Theros Beyond Death,95,Near Mint,English,,,,,,,,,Instant
1,0,Fire Prophecy,Ikoria: Lair of Behemoths,116,Near Mint,English,,,,,,,,,Instant
2,0,Fling,Throne of Eldraine,126,Near Mint,English,,,,,,,,,Instant
2,0,Flutterfox,Throne of Eldraine,12,Near Mint,English,,,,,,,,,Creature - Fox
1,0,Forbidden Alchemy,Ultimate Masters,56,Near Mint,English,,,,,,,,,Instant
2,0,Fortifying Provisions,Throne of Eldraine,13,Near Mint,English,,,,,,,,,Enchantment
1,0,Frenzied Arynx,Ravnica Allegiance,173,Near Mint,English,,,,,,,,,Creature - Cat Beast
1,0,Frost Lynx,Core Set 2020,62,Near Mint,English,,,,,,,,,Creature - Elemental Cat
1,0,Frostveil Ambush,Ikoria: Lair of Behemoths,52,Near Mint,English,,,,,,,,,Instant
3,0,Fruit of Tizerus,Theros Beyond Death,96,Near Mint,English,,,,,,,,,Sorcery
1,0,Funeral Rites,Theros Beyond Death,97,Near Mint,English,,,,,,,,,Sorcery
1,0,Garenbrig Carver // Shield's Might,Throne of Eldraine,156,Near Mint,English,,,,,,,,,Creature - Human Warrior // Instant - Adventure
1,0,Garenbrig Squire,Throne of Eldraine,158,Near Mint,English,,,,,,,,,Creature - Human Soldier
1,0,Gather the Townsfolk,Dark Ascension,8,Near Mint,English,,,,,,,,,Sorcery
1,0,Geist of Saint Traft,Duel Decks: Blessed vs. Cursed,1,Good (Lightly Played),English,foil,,,,,,,0,Legendary Creature - Spirit Cleric
2,0,Ghoulraiser,Innistrad,102,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Giant Killer // Chop Down,Throne of Eldraine,14,Near Mint,English,,,,,,,,,Creature - Human Peasant // Instant - Adventure
1,0,Giant Opportunity,Throne of Eldraine,159,Near Mint,English,,,,,,,,,Sorcery
1,0,Gingerbrute,Throne of Eldraine,219,Near Mint,English,,,,,,,,,Artifact Creature - Food Golem
1,0,Glass Casket,Throne of Eldraine,15,Near Mint,English,,,,,,,,,Artifact
1,0,Gleaming Overseer,War of the Spark,198,Near Mint,English,,,,,,,,,Creature - Zombie Wizard
1,0,Glimpse of Freedom,Theros Beyond Death,50,Near Mint,English,,,,,,,,,Instant
1,0,Gloom Pangolin,Ikoria: Lair of Behemoths,89,Near Mint,English,,,,,,,,,Creature - Nightmare Pangolin
2,0,Gods Willing,Core Set 2020,19,Near Mint,English,,,,,,,,,Instant
1,0,Golden Egg,Throne of Eldraine,220,Near Mint,English,,,,,,,,,Artifact - Food
1,0,Goldenglow Moth,Magic 2011,15,Near Mint,English,,,,,,,,,Creature - Insect
1,0,Goldnight Redeemer,Avacyn Restored,23,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Gravecrawler,Duel Decks: Blessed vs. Cursed,59,Near Mint,English,,,,,,,,0,Creature - Zombie
1,0,Gravedigger,Core Set 2020,103,Near Mint,English,,,,,,,,,Creature - Zombie
3,0,Gray Merchant of Asphodel,Theros Beyond Death,99,Near Mint,English,,,,,,,,,Creature - Zombie
2,0,Griffin Protector,Core Set 2020,20,Near Mint,English,,,,,,,,,Creature - Griffin
2,0,Griffin Sentinel,Core Set 2020,21,Near Mint,English,,,,,,,,,Creature - Griffin
1,0,Gryff Vanguard,Avacyn Restored,59,Near Mint,English,,,,,,,,,Creature - Human Knight
1,0,Gutter Skulk,Gatecrash,67,Near Mint,English,,,,,,,,,Creature - Zombie Rat
1,0,Harvester of Souls,Avacyn Restored,107,Near Mint,English,,,,,,,,,Creature - Demon
1,0,Havengul Runebinder,Dark Ascension,39,Near Mint,English,,,,,,,,,Creature - Human Wizard
1,0,Heliod's Punishment,Theros Beyond Death,21,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Henge Walker,Throne of Eldraine,221,Near Mint,English,,,,,,,,,Artifact Creature - Golem
1,0,Herald of Torment,Born of the Gods,75,Near Mint,English,,,,,,,,,Enchantment Creature - Demon
2,0,Heraldic Banner,Throne of Eldraine,222,Near Mint,English,,,,,,,,,Artifact
1,0,Human Frailty,Avacyn Restored,109,Near Mint,English,,,,,,,,,Instant
1,0,Ichthyomorphosis,Theros Beyond Death,51,Near Mint,English,,,,,,,,,Enchantment  - Aura
2,0,Idyllic Grange,Throne of Eldraine,246,Near Mint,English,,,,,,,,,Land - Plains
1,0,Impassioned Orator,Ravnica Allegiance,12,Near Mint,English,,,,,,,,0,Creature - Human Cleric
1,0,Improbable Alliance,Throne of Eldraine,193,Near Mint,English,,,,,,,,,Enchantment
1,0,Increasing Devotion,Commander 2019,66,Near Mint,English,,,,,,,,,Sorcery
1,0,Indomitable Will,Theros Beyond Death,25,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Inevitable End,Theros Beyond Death,102,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Infuriate,Core Set 2020,145,Near Mint,English,,,,,,,,0,Instant
1,0,Insatiable Appetite,Throne of Eldraine,162,Near Mint,English,,,,,,,,,Instant
2,0,Inspired Charge,Core Set 2020,24,Near Mint,English,,,,,,,,,Instant
1,0,Irencrag Feat,Throne of Eldraine,127,Near Mint,English,,,,,,,,,Sorcery
1,0,Ivy Elemental,Ikoria: Lair of Behemoths,161,Near Mint,English,,,,,,,,0,Creature - Elemental
2,0,Joust,Throne of Eldraine,129,Near Mint,English,,,,,,,,,Sorcery
1,0,"Kambal, Consul of Allocation",Kaladesh,183,Near Mint,English,,,,,,,,,Legendary Creature - Human Advisor
1,0,Karametra's Blessing,Theros Beyond Death,26,Near Mint,English,,,,,,,,,Instant
1,0,Keensight Mentor,Ikoria: Lair of Behemoths,18,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Kingpin's Pet,Gatecrash,173,Near Mint,English,,,,,,,,,Creature - Thrull
1,0,Knight of the Keep,Throne of Eldraine,19,Near Mint,English,,,,,,,,,Creature - Human Knight
1,0,Knight Watch,Gatecrash,19,Near Mint,English,,,,,,,,,Sorcery
1,0,Lagonna-Band Storyteller,Theros Beyond Death,27,Near Mint,English,,,,,,,,,Creature  - Centaur Advisor
2,0,Lampad of Death's Vigil,Theros Beyond Death,103,Near Mint,English,,,,,,,,,Enchantment Creature  - Nymph
1,0,Last Thoughts,Gatecrash,40,Near Mint,English,,,,,,,,,Sorcery
1,0,Leafkin Druid,Core Set 2020,178,Near Mint,English,,,,,,,,0,Creature - Elemental Druid
1,0,Lightning Stormkin,Core Set 2020,213,Near Mint,English,,,,,,,,,Creature - Elemental Wizard
1,0,Locthwain Paladin,Throne of Eldraine,93,Near Mint,English,,,,,,,,,Creature - Human Knight
2,0,Lonesome Unicorn // Rider in Need,Throne of Eldraine,21,Near Mint,English,,,,,,,,,Creature - Unicorn // Sorcery - Adventure
1,0,Lord of the Accursed,Amonkhet,99,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Mad Ratter,Throne of Eldraine,130,Near Mint,English,,,,,,,,,Creature - Goblin
1,0,Makeshift Mauler,Duel Decks: Blessed vs. Cursed,45,Near Mint,English,,,,,,,,0,Creature - Zombie Horror
1,0,Maniacal Rage,Core Set 2020,149,Near Mint,English,,,,,,,,,Enchantment - Aura
1,0,Mantle of Tides,Throne of Eldraine,52,Near Mint,English,,,,,,,,,Artifact - Equipment
1,0,Martyr of Sands,Ultimate Masters,25,Near Mint,English,,,,,,,,,Creature - Human Cleric
1,0,Mass Calcify,Magic 2015 Core Set,18,Near Mint,English,,,,,,,,,Sorcery
2,0,Medomai's Prophecy,Theros Beyond Death,53,Near Mint,English,,,,,,,,,Enchantment  - Saga
2,0,Memory Drain,Theros Beyond Death,54,Near Mint,English,,,,,,,,,Instant
1,0,Memory Theft,Throne of Eldraine,96,Near Mint,English,,,,,,,,,Sorcery
2,0,Merchant of the Vale // Haggle,Throne of Eldraine,131,Near Mint,English,,,,,,,,,Creature - Human Peasant // Instant - Adventure
1,0,Mindwrack Demon,Duel Decks: Blessed vs. Cursed,41,Near Mint,English,foil,,,,,,,0,Creature - Demon
1,0,Minion's Return,Theros Beyond Death,104,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Mire Triton,Theros Beyond Death,105,Near Mint,English,,,,,,,,,Creature  - Zombie Merfolk
2,0,Mire's Grasp,Theros Beyond Death,106,Near Mint,English,,,,,,,,,Enchantment  - Aura
1,0,Mist Raven,Modern Masters 2017 Edition,43,Near Mint,English,,,,,,,,,Creature - Bird
1,0,Mistford River Turtle,Throne of Eldraine,56,Near Mint,English,,,,,,,,,Creature - Turtle
2,0,Moan of the Unhallowed,Ultimate Masters,107,Near Mint,English,,,,,,,,,Sorcery
1,0,Moldervine Reclamation,Core Set 2020,214,Near Mint,English,,,,,,,,,Enchantment
2,0,Moment of Heroism,Core Set 2020,30,Near Mint,English,,,,,,,,,Instant
1,0,Momentary Blink,Duel Decks: Blessed vs. Cursed,15,Near Mint,English,,,,,,,,0,Instant
1,0,Moonlit Scavengers,Throne of Eldraine,57,Near Mint,English,,,,,,,,,Creature - Merfolk Rogue
1,0,Mortus Strider,Gatecrash,179,Near Mint,English,,,,,,,,,Creature - Skeleton
1,0,Mysterious Egg,Ikoria: Lair of Behemoths,3,Near Mint,English,,,,,,,,,Creature - Egg
1,0,Mysterious Pathlighter,Throne of Eldraine,22,Near Mint,English,,,,,,,,,Creature - Faerie
1,0,Mythos of Vadrok,Ikoria: Lair of Behemoths,127,Near Mint,English,,,,,,,,,Sorcery
1,0,Naiad of Hidden Coves,Theros Beyond Death,56,Near Mint,English,,,,,,,,,Enchantment Creature  - Nymph
1,0,Negate,Rivals of Ixalan,44,Near Mint,English,,,,,,,,0,Instant
1,0,Nephalia Smuggler,Avacyn Restored,69,Near Mint,English,,,,,,,,,Creature - Human Rogue
1,0,Noosegraf Mob,Battlebond,151,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Nyx-Fleece Ram,Masters 25,26,Near Mint,English,,,,,,,,,Enchantment Creature - Sheep
1,0,Nyxborn Courser,Theros Beyond Death,29,Near Mint,English,,,,,,,,,Enchantment Creature  - Centaur Scout
1,0,Nyxborn Marauder,Theros Beyond Death,109,Near Mint,English,,,,,,,,,Enchantment Creature  - Minotaur
2,0,Nyxborn Seaguard,Theros Beyond Death,57,Near Mint,English,,,,,,,,,Enchantment Creature  - Merfolk Soldier
1,0,Ogre Errant,Throne of Eldraine,132,Near Mint,English,,,,,,,,,Creature - Ogre Knight
1,0,Oketra's Monument,Amonkhet,233,Near Mint,English,,,,,,,,,Legendary Artifact
1,0,Omen of the Dead,Theros Beyond Death,110,Near Mint,English,,,,,,,,,Enchantment
1,0,Omen of the Sea,Theros Beyond Death,58,Near Mint,English,,,,,,,,,Enchantment
1,0,Omen of the Sun,Theros Beyond Death,30,Near Mint,English,,,,,,,,,Enchantment
1,0,One with the Stars,Theros Beyond Death,59,Near Mint,English,,,,,,,,,Enchantment  - Aura
2,0,Outflank,Throne of Eldraine,23,Near Mint,English,,,,,,,,,Instant
1,0,Path of Bravery,Iconic Masters,26,Near Mint,English,,,,,,,,,Enchantment
1,0,Pattern Matcher,Core Set 2020,234,Near Mint,English,,,,,,,,,Artifact Creature - Golem
1,0,Phalanx Tactics,Theros Beyond Death,31,Near Mint,English,,,,,,,,,Instant
1,0,Pharika's Spawn,Theros Beyond Death,112,Near Mint,English,,,,,,,,,Creature  - Gorgon
1,0,Pious Wayfarer,Theros Beyond Death,32,Near Mint,English,,,,,,,,,Creature  - Human Scout
1,0,Plague Belcher,Amonkhet,104,Near Mint,English,,,,,,,,,Creature - Zombie Beast
7,0,Plains,Throne of Eldraine,250,Near Mint,English,,,,,,,,0,Basic Land - Plains
1,0,Planar Cleansing,Core Set 2020,33,Near Mint,English,,,,,,,,,Sorcery
1,0,Pore Over the Pages,Duel Decks: Blessed vs. Cursed,28,Near Mint,English,,,,,,,,0,Sorcery
1,0,Prismite,Core Set 2020,235,Near Mint,English,,,,,,,,0,Artifact Creature - Golem
1,0,Pyroceratops,Ikoria: Lair of Behemoths,130,Near Mint,English,,,,,,,,,Creature - Elemental Dinosaur
1,0,Rabid Bite,Core Set 2020,190,Near Mint,English,,,,,,,,,Sorcery
1,0,Raging Redcap,Throne of Eldraine,134,Near Mint,English,,,,,,,,,Creature - Goblin Knight
1,0,Rally for the Throne,Throne of Eldraine,25,Near Mint,English,,,,,,,,,Instant
1,0,Reaper of Night // Harvest Fear,Throne of Eldraine,102,Near Mint,English,,,,,,,,,Creature - Specter // Sorcery - Adventure
1,0,Reaver Ambush,Rivals of Ixalan,83,Near Mint,English,,,,,,,,,Instant
1,0,Rebuke,Battlebond,103,Near Mint,English,,,,,,,,,Instant
1,0,Redcap Raiders,Throne of Eldraine,136,Near Mint,English,,,,,,,,,Creature - Goblin Warrior
1,0,Regal Leosaur,Ikoria: Lair of Behemoths,202,Near Mint,English,,,,,,,,,Creature - Dinosaur Cat
1,0,Relentless Skaabs,Dark Ascension,45,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Requiem Angel,Dark Ascension,18,Near Mint,English,,,,,,,,,Creature - Angel
1,0,Retributive Wand,Core Set 2020,236,Near Mint,English,,,,,,,,,Artifact
1,0,Return to Nature,Throne of Eldraine,173,Near Mint,English,,,,,,,,,Instant
1,0,Revoke Existence,Theros Beyond Death,34,Near Mint,English,,,,,,,,,Sorcery
1,0,Righteousness,Throne of Eldraine,27,Near Mint,English,,,,,,,,,Instant
1,0,Rimrock Knight // Boulder Rush,Throne of Eldraine,137,Near Mint,English,,,,,,,,,Creature - Dwarf Knight // Instant - Adventure
2,0,Riptide Turtle,Theros Beyond Death,61,Near Mint,English,,,,,,,,,Creature  - Turtle
2,0,Roving Keep,Throne of Eldraine,228,Near Mint,English,,,,,,,,,Artifact Creature - Wall
2,0,Rule of Law,Core Set 2020,35,Near Mint,English,,,,,,,,,Enchantment
1,0,Sanguine Sacrament,Ixalan,33,Near Mint,English,,,,,,,,,Instant
1,0,Sanitarium Skeleton,Core Set 2020,112,Near Mint,English,,,,,,,,0,Creature - Skeleton
1,0,Scalding Cauldron,Throne of Eldraine,229,Near Mint,English,,,,,,,,,Artifact
1,0,Scavenging Harpy,Theros Beyond Death,114,Near Mint,English,,,,,,,,,Creature  - Harpy
1,0,Scorch Spitter,Core Set 2020,159,Near Mint,English,,,,,,,,,Creature - Elemental Lizard
2,0,Scorching Dragonfire,Throne of Eldraine,139,Near Mint,English,,,,,,,,,Instant
1,0,Scoured Barrens,Core Set 2020,251,Near Mint,English,,,,,,,,,Land
1,0,Scrapskin Drake,Magic Origins,69,Near Mint,English,,,,,,,,,Creature - Zombie Drake
3,0,Screeching Skaab,Eternal Masters,69,Near Mint,English,,,,,,,,,Creature - Zombie
1,0,Scuttlemutt,Core Set 2020,238,Near Mint,English,,,,,,,,,Artifact Creature - Scarecrow
1,0,Sea God's Scorn,Theros Beyond Death,63,Near Mint,English,,,,,,,,,Sorcery
1,0,Searing Barrage,Throne of Eldraine,140,Near Mint,English,,,,,,,,,Instant
